nama_produk,harga,kategori,deskripsi
Indomie Goreng,3500,Mie Instan,mie instan goreng dengan bumbu khas bawang goreng dan kecap gurih
Indomie Kuah Rasa Ayam Bawang,3500,Mie Instan,mie instan kuah rasa kaldu ayam gurih dengan aroma minyak bawang
Indomie Kuah Rasa Soto Mie,3500,Mie Instan,mie instan kuah soto ayam segar dengan bumbu rempah kuning
Indomie Kari Ayam,3500,Mie Instan,mie instan kuah rasa kari ayam kental gurih berempah
Indomie Goreng Rendang,3500,Mie Instan,mie instan goreng pedas rempah khas kuliner rendang padang
Mie Sedaap Goreng,3200,Mie Instan,mie instan goreng krispi dengan taburan kriuk renyah bawang
Mie Sedaap Soto Madura,3200,Mie Instan,mie instan kuah rasa soto dengan serbuk gurih koya lezat
Mie Sedaap Korean Spicy Chicken,3500,Mie Instan,mie instan goreng rasa ayam pedas korea bumbu pedas mantap
Pop Mie Rasa Baso Spesial,5500,Mie Instan,mie instan cup kuah praktis rasa bakso daging sapi gurih
Pop Mie Goreng Pedes Gledek,6000,Mie Instan,mie instan cup goreng pedas cabai merah ekstra nampol
Lemonilo Mie Goreng Alami,7500,Mie Instan,mie instan alami saripati bayam tanpa pengawet dan rendah gluten
Sarimi Isi 2 Ayam Kecap,4000,Mie Instan,mie instan goreng porsi dobel kenyang rasa ayam kecap manis gurih
Supermi Ayam Bawang,3000,Mie Instan,mie kuah legendaris rasa kaldu ayam bawang hangat dan nikmat
Samyang Hot Chicken Ramen Carbonara,22000,Mie Instan,mie instan korea kuah kental pedas rasa keju krim carbonara creamy
Aqua 600ml,3000,Minuman,air mineral murni dalam kemasan botol sedang praktis dibawa
Aqua 1500ml,5000,Minuman,air mineral botol besar untuk kebutuhan minum keluarga di rumah
Le Minerale 600ml,3000,Minuman,air mineral alami pegunungan kemasan botol dengan mineral esensial
Le Minerale 1500ml,5000,Minuman,air mineral botol besar alami pegunungan segar berkualitas
Teh Botol Sosro 450ml,5000,Minuman,teh melati manis wangi asli indonesia dalam botol pet praktis
Teh Pucuk Harum 350ml,3500,Minuman,minuman teh beraroma melati segar dari pucuk daun teh pilihan
Pocari Sweat 350ml,7000,Minuman,minuman isotonik kemasan botol pengganti cairan tubuh dan ion elektrolit
Pocari Sweat 500ml,9000,Minuman,minuman ion isotonik kemasan botol besar cepat menyegarkan hidrasi tubuh
Floridina Orange 360ml,3500,Minuman,jus jeruk segar dengan bulir jeruk florida asli manis alami
Buavita Jus Jambu 250ml,8000,Minuman,minuman sari buah jambu biji asli kaya vitamin c penambah imun tubuh
Buavita Jus Jeruk 250ml,8000,Minuman,minuman jus jeruk kemasan kotak segar sumber vitamin c harian
Coca-Cola Rasa Original 390ml,5500,Minuman,minuman bersoda rasa kola dingin menyegarkan dalam kemasan botol
